record_id,source_filename,frame_index,yaw,pitch,roll,pose_bin,canonical_yaw,ldm106_raw_file,ldm106_aligned_file,ldm134_raw_file,ldm134_aligned_file,metadata_file,npz_file
frame_000147,frame_000147.jpg,147,-70.39131927490234,9.801630973815918,-5.105475425720215,left_profile,-70.0,person_03/frame_000147/ldm106_raw.csv,person_03/frame_000147/ldm106_aligned.csv,person_03/frame_000147/ldm134_raw.csv,person_03/frame_000147/ldm134_aligned.csv,person_03/frame_000147/metadata.json,person_03/frame_000147/record.npz
frame_000146,frame_000146.jpg,146,-69.79472351074219,10.394686698913574,-5.812524318695068,left_profile,-70.0,person_03/frame_000146/ldm106_raw.csv,person_03/frame_000146/ldm106_aligned.csv,person_03/frame_000146/ldm134_raw.csv,person_03/frame_000146/ldm134_aligned.csv,person_03/frame_000146/metadata.json,person_03/frame_000146/record.npz
frame_000145,frame_000145.jpg,145,-69.08161926269531,8.277939796447754,-5.148730278015137,left_profile,-70.0,person_03/frame_000145/ldm106_raw.csv,person_03/frame_000145/ldm106_aligned.csv,person_03/frame_000145/ldm134_raw.csv,person_03/frame_000145/ldm134_aligned.csv,person_03/frame_000145/metadata.json,person_03/frame_000145/record.npz
frame_000144,frame_000144.jpg,144,-68.72842407226562,8.665504455566406,-5.790515899658203,left_profile,-70.0,person_03/frame_000144/ldm106_raw.csv,person_03/frame_000144/ldm106_aligned.csv,person_03/frame_000144/ldm134_raw.csv,person_03/frame_000144/ldm134_aligned.csv,person_03/frame_000144/metadata.json,person_03/frame_000144/record.npz
frame_000142,frame_000142.jpg,142,-68.70126342773438,11.561967849731444,-9.61482048034668,left_profile,-70.0,person_03/frame_000142/ldm106_raw.csv,person_03/frame_000142/ldm106_aligned.csv,person_03/frame_000142/ldm134_raw.csv,person_03/frame_000142/ldm134_aligned.csv,person_03/frame_000142/metadata.json,person_03/frame_000142/record.npz
frame_000143,frame_000143.jpg,143,-68.46883392333984,9.445744514465332,-7.31446361541748,left_profile,-70.0,person_03/frame_000143/ldm106_raw.csv,person_03/frame_000143/ldm106_aligned.csv,person_03/frame_000143/ldm134_raw.csv,person_03/frame_000143/ldm134_aligned.csv,person_03/frame_000143/metadata.json,person_03/frame_000143/record.npz
frame_000141,frame_000141.jpg,141,-66.82382202148438,11.128801345825195,-9.447301864624023,left_profile,-70.0,person_03/frame_000141/ldm106_raw.csv,person_03/frame_000141/ldm106_aligned.csv,person_03/frame_000141/ldm134_raw.csv,person_03/frame_000141/ldm134_aligned.csv,person_03/frame_000141/metadata.json,person_03/frame_000141/record.npz
frame_000140,frame_000140.jpg,140,-66.65023803710938,10.892999649047852,-9.96463108062744,left_profile,-70.0,person_03/frame_000140/ldm106_raw.csv,person_03/frame_000140/ldm106_aligned.csv,person_03/frame_000140/ldm134_raw.csv,person_03/frame_000140/ldm134_aligned.csv,person_03/frame_000140/metadata.json,person_03/frame_000140/record.npz
frame_000139,frame_000139.jpg,139,-66.62007904052734,11.273186683654783,-11.499048233032228,left_profile,-70.0,person_03/frame_000139/ldm106_raw.csv,person_03/frame_000139/ldm106_aligned.csv,person_03/frame_000139/ldm134_raw.csv,person_03/frame_000139/ldm134_aligned.csv,person_03/frame_000139/metadata.json,person_03/frame_000139/record.npz
frame_000138,frame_000138.jpg,138,-66.352294921875,10.04659938812256,-10.288908004760742,left_profile,-70.0,person_03/frame_000138/ldm106_raw.csv,person_03/frame_000138/ldm106_aligned.csv,person_03/frame_000138/ldm134_raw.csv,person_03/frame_000138/ldm134_aligned.csv,person_03/frame_000138/metadata.json,person_03/frame_000138/record.npz
