record_id,source_filename,frame_index,yaw,pitch,roll,pose_bin,canonical_yaw,ldm106_raw_file,ldm106_aligned_file,ldm134_raw_file,ldm134_aligned_file,metadata_file,npz_file
frame_000302,frame_000302.jpg,302,-52.54779815673828,-2.369070291519165,2.561647891998291,left_profile,-70.0,person_05/frame_000302/ldm106_raw.csv,person_05/frame_000302/ldm106_aligned.csv,person_05/frame_000302/ldm134_raw.csv,person_05/frame_000302/ldm134_aligned.csv,person_05/frame_000302/metadata.json,person_05/frame_000302/record.npz
frame_000303,frame_000303.jpg,303,-51.78202438354492,-2.9973864555358887,3.104886054992676,left_profile,-70.0,person_05/frame_000303/ldm106_raw.csv,person_05/frame_000303/ldm106_aligned.csv,person_05/frame_000303/ldm134_raw.csv,person_05/frame_000303/ldm134_aligned.csv,person_05/frame_000303/metadata.json,person_05/frame_000303/record.npz
frame_000304,frame_000304.jpg,304,-50.18033981323242,-3.796841859817505,3.675156354904175,left_profile,-70.0,person_05/frame_000304/ldm106_raw.csv,person_05/frame_000304/ldm106_aligned.csv,person_05/frame_000304/ldm134_raw.csv,person_05/frame_000304/ldm134_aligned.csv,person_05/frame_000304/metadata.json,person_05/frame_000304/record.npz
frame_000305,frame_000305.jpg,305,-48.09532928466797,-4.275421619415283,4.154124736785889,left_deep,-45.0,person_05/frame_000305/ldm106_raw.csv,person_05/frame_000305/ldm106_aligned.csv,person_05/frame_000305/ldm134_raw.csv,person_05/frame_000305/ldm134_aligned.csv,person_05/frame_000305/metadata.json,person_05/frame_000305/record.npz
frame_000306,frame_000306.jpg,306,-46.42193984985352,-3.9315390586853023,4.1463422775268555,left_deep,-45.0,person_05/frame_000306/ldm106_raw.csv,person_05/frame_000306/ldm106_aligned.csv,person_05/frame_000306/ldm134_raw.csv,person_05/frame_000306/ldm134_aligned.csv,person_05/frame_000306/metadata.json,person_05/frame_000306/record.npz
frame_000307,frame_000307.jpg,307,-44.71531295776367,-4.915058612823486,4.814364910125732,left_deep,-45.0,person_05/frame_000307/ldm106_raw.csv,person_05/frame_000307/ldm106_aligned.csv,person_05/frame_000307/ldm134_raw.csv,person_05/frame_000307/ldm134_aligned.csv,person_05/frame_000307/metadata.json,person_05/frame_000307/record.npz
frame_000308,frame_000308.jpg,308,-43.695823669433594,-5.539036273956299,5.460570335388184,left_deep,-45.0,person_05/frame_000308/ldm106_raw.csv,person_05/frame_000308/ldm106_aligned.csv,person_05/frame_000308/ldm134_raw.csv,person_05/frame_000308/ldm134_aligned.csv,person_05/frame_000308/metadata.json,person_05/frame_000308/record.npz
frame_000309,frame_000309.jpg,309,-42.615386962890625,-5.619884014129639,5.572573661804199,left_deep,-45.0,person_05/frame_000309/ldm106_raw.csv,person_05/frame_000309/ldm106_aligned.csv,person_05/frame_000309/ldm134_raw.csv,person_05/frame_000309/ldm134_aligned.csv,person_05/frame_000309/metadata.json,person_05/frame_000309/record.npz
frame_000310,frame_000310.jpg,310,-41.43936920166016,-5.8568830490112305,5.582904815673828,left_deep,-45.0,person_05/frame_000310/ldm106_raw.csv,person_05/frame_000310/ldm106_aligned.csv,person_05/frame_000310/ldm134_raw.csv,person_05/frame_000310/ldm134_aligned.csv,person_05/frame_000310/metadata.json,person_05/frame_000310/record.npz
frame_000311,frame_000311.jpg,311,-40.42471694946289,-5.421789169311523,5.2509541511535645,left_deep,-45.0,person_05/frame_000311/ldm106_raw.csv,person_05/frame_000311/ldm106_aligned.csv,person_05/frame_000311/ldm134_raw.csv,person_05/frame_000311/ldm134_aligned.csv,person_05/frame_000311/metadata.json,person_05/frame_000311/record.npz
